election_id,data_source,num_voters,num_candidates,committee_size,hamming_pav_phrag,hamming_pav_mes,hamming_phrag_mes,pav_approval_score,phrag_approval_score,mes_approval_score,runtime_pav,runtime_phrag,runtime_mes,error,pav_winners_str,phrag_winners_str,mes_winners_str
syn_00089,resampling_n50_m10_rs0.40_phi0.50_rep4,50,10,2,0,0,0,57,57,57,0.0043,0.0003,0.0007,,"[3, 4]","[3, 4]","[3, 4]"
syn_00090,resampling_n50_m20_rs0.20_phi0.50_rep0,50,20,4,0,0,0,81,81,81,0.0056,0.0008,0.0012,,"[0, 3, 15, 19]","[0, 3, 15, 19]","[0, 3, 15, 19]"
syn_00091,resampling_n50_m20_rs0.20_phi0.50_rep1,50,20,4,2,2,0,50,52,52,0.0049,0.0007,0.001,,"[1, 8, 18, 19]","[1, 8, 17, 18]","[1, 8, 17, 18]"
syn_00092,resampling_n50_m20_rs0.20_phi0.50_rep2,50,20,4,0,0,0,104,104,104,0.0057,0.0008,0.0013,,"[4, 12, 15, 18]","[4, 12, 15, 18]","[4, 12, 15, 18]"
syn_00093,resampling_n50_m20_rs0.20_phi0.50_rep3,50,20,4,0,0,0,87,87,87,0.0054,0.0008,0.0012,,"[5, 11, 12, 19]","[5, 11, 12, 19]","[5, 11, 12, 19]"
syn_00094,resampling_n50_m20_rs0.20_phi0.50_rep4,50,20,4,2,0,2,117,119,117,0.007,0.0008,0.0015,,"[1, 2, 12, 19]","[1, 2, 8, 19]","[1, 2, 12, 19]"
syn_00095,resampling_n50_m20_rs0.40_phi0.50_rep0,50,20,4,2,0,2,132,131,132,0.0063,0.0009,0.0015,,"[1, 7, 8, 17]","[1, 7, 8, 14]","[1, 7, 8, 17]"
syn_00096,resampling_n50_m20_rs0.40_phi0.50_rep1,50,20,4,0,0,0,150,150,150,0.0068,0.0008,0.0017,,"[8, 10, 13, 15]","[8, 10, 13, 15]","[8, 10, 13, 15]"
syn_00097,resampling_n50_m20_rs0.40_phi0.50_rep2,50,20,4,2,0,2,142,142,142,0.0069,0.0008,0.0017,,"[5, 11, 14, 18]","[2, 5, 14, 18]","[5, 11, 14, 18]"
syn_00098,resampling_n50_m20_rs0.40_phi0.50_rep3,50,20,4,0,2,2,154,154,154,0.0067,0.001,0.0017,,"[16, 17, 18, 19]","[16, 17, 18, 19]","[7, 16, 17, 18]"
syn_00099,resampling_n50_m20_rs0.40_phi0.50_rep4,50,20,4,0,0,0,149,149,149,0.0067,0.0008,0.0017,,"[3, 6, 7, 12]","[3, 6, 7, 12]","[3, 6, 7, 12]"
syn_00100,resampling_n100_m10_rs0.20_phi0.50_rep0,100,10,2,0,0,0,127,127,127,0.0056,0.0006,0.0011,,"[0, 1]","[0, 1]","[0, 1]"
syn_00101,resampling_n100_m10_rs0.20_phi0.50_rep1,100,10,2,0,0,0,116,116,116,0.0058,0.0005,0.0013,,"[7, 9]","[7, 9]","[7, 9]"
syn_00102,resampling_n100_m10_rs0.20_phi0.50_rep2,100,10,2,0,0,0,132,132,132,0.0064,0.0006,0.0014,,"[1, 5]","[1, 5]","[1, 5]"
syn_00103,resampling_n100_m10_rs0.20_phi0.50_rep3,100,10,2,0,0,0,28,28,28,0.0047,0.0005,0.0011,,"[6, 8]","[6, 8]","[6, 8]"
syn_00104,resampling_n100_m10_rs0.20_phi0.50_rep4,100,10,2,0,0,0,119,119,119,0.0069,0.0006,0.0014,,"[5, 6]","[5, 6]","[5, 6]"
syn_00105,resampling_n100_m10_rs0.40_phi0.50_rep0,100,10,2,0,0,0,152,152,152,0.0068,0.0006,0.0014,,"[6, 9]","[6, 9]","[6, 9]"
syn_00106,resampling_n100_m10_rs0.40_phi0.50_rep1,100,10,2,0,0,0,143,143,143,0.0065,0.0005,0.0014,,"[4, 7]","[4, 7]","[4, 7]"
syn_00107,resampling_n100_m10_rs0.40_phi0.50_rep2,100,10,2,0,0,0,147,147,147,0.0074,0.0006,0.0015,,"[0, 1]","[0, 1]","[0, 1]"
syn_00108,resampling_n100_m10_rs0.40_phi0.50_rep3,100,10,2,0,0,0,149,149,149,0.0073,0.0006,0.0015,,"[0, 9]","[0, 9]","[0, 9]"
syn_00109,resampling_n100_m10_rs0.40_phi0.50_rep4,100,10,2,0,0,0,139,139,139,0.0066,0.0006,0.0013,,"[1, 6]","[1, 6]","[1, 6]"
